[' 2023-09-18 09:35:07,999 '] 24 root - INFO -Starting data ingestion
[' 2023-09-18 09:35:08,014 '] 31 root - INFO -Read the data 
[' 2023-09-18 09:35:08,029 '] 37 root - INFO -Train Test Split Started
[' 2023-09-18 09:35:08,049 '] 45 root - INFO -Ingestion Completed
[' 2023-09-18 09:35:08,062 '] 33 root - INFO -Read train and test data set Successfully
[' 2023-09-18 09:35:08,065 '] 42 root - INFO -Removing Outliers for train set
[' 2023-09-18 09:35:08,080 '] 54 root - INFO -Removing Outliers for test set
[' 2023-09-18 09:35:08,092 '] 67 root - INFO -Outliers Removed Successfully 
[' 2023-09-18 09:35:08,094 '] 76 root - INFO -Feature Selection Added Successfully
[' 2023-09-18 09:35:08,106 '] 91 root - INFO -{'BusinessTravel': LabelEncoder(), 'Department': LabelEncoder(), 'EducationField': LabelEncoder(), 'Gender': LabelEncoder(), 'MaritalStatus': LabelEncoder(), 'OverTime': LabelEncoder()}
[' 2023-09-18 09:35:08,117 '] 130 root - INFO -Preprocessing completed
[' 2023-09-18 09:35:08,120 '] 36 root - INFO -Initializing model training
[' 2023-09-18 09:35:08,120 '] 108 root - INFO -evaluate model started
